MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2,iast_b_co2,iast_b_n2,iast_b_sel,t_sel_co2/n2,t_sel_co2/h2o,t_sel_n2/h2o,water_resistance
str_m2_o14_o22_pcu_sym.239,7.97E-05,3.98E-06,20.02512563,3.380636354,0.358451468,0.206196304,0.262175238,17.41913665,19.35514192,0.368298312,0.019028448,0.874840497
str_m2_o14_o23_pcu_sym.139,0.000132096,6.42E-06,20.57570093,3.400547937,0.563124362,0.307437921,0.392644913,17.34182819,18.51534842,0.564729661,0.030500623,0.867079815
str_m2_o16_o16_pcu_sym.177,0.000121429,5.46E-06,22.23974359,4.382333814,0.491420657,0.313928435,0.348759675,19.93617381,20.06514751,5.18433586,0.258375168,0.916770626
str_m2_o4_o9_pcu_sym.40,0.000105019,4.98E-06,21.08815261,3.620041227,0.433311934,0.268970214,0.312610373,19.05628425,18.96087312,10.57706524,0.557836402,0.952280218
str_m2_o5_o29_pcu_sym.50,0.000322853,1.01E-05,31.96564356,4.717661565,0.725238541,0.537821921,0.453039613,26.29297581,26.57969128,0.222747261,0.008380355,0.615139208
str_m2_o5_o29_pcu_sym.83,0.000254384,9.51E-06,26.7491062,4.22090146,0.735191242,0.515001634,0.480413626,23.74273306,25.31448068,0.598320531,0.023635505,0.801995516
str_m2_o9_o14_pcu_sym.72,0.000113931,2.60E-06,43.81961538,3.033697971,0.245834974,0.282898328,0.165174646,37.93363109,22.42047896,0.924630165,0.041240429,0.877307414
str_m2_o9_o18_pcu_sym.31,0.000204941,6.35E-06,32.27417323,3.798959708,0.534300718,0.445430428,0.358840298,27.4926177,35.62764094,0.10185006,0.002858737,0.541869175
str_m2_o9_o19_pcu_sym.13,0.000115069,3.95E-06,29.13139241,3.221283439,0.339594768,0.286358518,0.236513302,26.81587388,15.72807473,1.461684124,0.092934714,0.901931998
str_m2_o9_o19_pcu_sym.99,0.000343683,5.89E-06,58.35025467,3.912088839,0.488905042,0.63861191,0.291435585,48.5324096,116.6916957,0.001081991,9.27E-06,0.007358794
str_m3_o1_o12_pcu_sym.96,0.00014496,3.11E-06,46.61093248,2.787698734,0.257794454,0.340922425,0.176119812,42.87308894,31.03076381,0.051185219,0.001649499,0.380059133
str_m3_o1_o22_pcu_sym.190,5.90E-05,4.02E-06,14.67661692,3.257739686,0.364940945,0.158882076,0.270206005,13.02318857,13.58900985,0.801407155,0.058974654,0.933722197
str_m3_o1_o6_pcu_sym.147,8.34E-05,5.04E-06,16.54761905,3.766129442,0.446450104,0.212981821,0.32449723,14.53680489,14.52905642,1.107430462,0.076221774,0.897317852
str_m3_o1_o9_pcu_sym.206,0.000178951,4.45E-06,40.21370787,3.202257296,0.39244166,0.400450385,0.2634733,33.66274482,34.69130404,6.227106085,0.17950049,0.9388642
str_m3_o10_o14_pcu_sym.41,0.000225266,5.36E-06,42.02723881,4.685065756,0.458470336,0.517433634,0.315652281,36.30639622,40.75475637,0.244313458,0.005994723,0.714653794
str_m3_o10_o14_pcu_sym.51,0.000176059,6.60E-06,26.67560606,2.762350978,0.522251786,0.346202784,0.347239217,22.08204079,22.59468295,8.144885563,0.360477975,0.922888758
str_m3_o10_o15_pcu_sym.28,0.000548345,9.47E-06,57.90337909,3.10377097,0.656106928,0.710545543,0.32185172,48.89601937,51.77591844,0.775685841,0.014981595,0.787091017
str_m3_o10_o15_pcu_sym.33,0.0020104,1.05E-05,191.4666667,5.125496674,0.819991858,1.706101288,0.296418199,127.478624,100.7430548,0.000177313,1.76E-06,0.000570808
str_m3_o10_o16_pcu_sym.105,9.46E-05,2.83E-06,33.42756184,3.134622185,0.258798919,0.227804318,0.174673422,28.88501133,29.65252765,2.092474942,0.070566495,0.929854506
str_m3_o10_o16_pcu_sym.149,0.000150564,5.36E-06,28.09029851,3.883156842,0.474543769,0.374028663,0.340079766,24.35911532,25.27112745,11.0743651,0.438222043,0.932453344
str_m3_o10_o16_pcu_sym.41,0.000337043,9.44E-06,35.70370763,2.905556526,0.696224061,0.571478833,0.418856473,30.21846067,31.19103507,10.28956212,0.329888447,0.926731325
str_m3_o10_o17_pcu_sym.108,0.00026089,4.87E-06,53.57084189,5.76278108,0.470146749,0.600947696,0.309557088,42.9965234,44.02355747,7.260345315,0.164919551,0.929769809
str_m3_o10_o18_pcu_sym.55,0.000210167,5.77E-06,36.42409012,3.398957912,0.487284577,0.462814954,0.331869297,30.88714221,40.04396239,0.116406161,0.002906959,0.55649621
str_m3_o10_o28_pcu_sym.16,0.000192531,8.38E-06,22.97505967,4.549692587,0.724806039,0.42404258,0.483910778,19.40803616,22.90742727,0.328809967,0.014353858,0.886597187
str_m3_o10_o28_pcu_sym.35,0.000152677,5.76E-06,26.50642361,3.711411187,0.487454788,0.351391435,0.332062672,23.43735153,23.92557653,1.003831051,0.0419564,0.875253588
str_m3_o10_o28_pcu_sym.50,5.33E-05,2.95E-06,18.06779661,1.504985536,0.246238814,0.128736365,0.176600475,16.14532507,26.34249447,0.141848716,0.005384787,0.723273901
str_m3_o10_o29_pcu_sym.121,0.000847458,1.25E-05,67.79664,2.14977827,0.678196505,0.675528938,0.300156976,49.84630109,50.62037069,1.247142203,0.024637161,0.796884305
str_m3_o10_o29_pcu_sym.227,0.00225155,3.94E-06,571.4593909,4.964981825,0.352923313,1.299390717,0.114117015,252.1893696,66.13967849,3.438886293,0.0519943,0.974941833
str_m3_o10_o29_pcu_sym.24,0.000672074,3.96E-06,169.7156566,3.872656574,0.330517519,0.855730085,0.150614044,125.8371149,68.34884099,1.177144787,0.017222601,0.889093562
str_m3_o10_o29_pcu_sym.37,0.000469653,5.92E-06,79.33327703,6.164400981,0.512144346,0.880603768,0.298764798,65.28126088,36.84681955,1.505980519,0.040871384,0.859552444
str_m3_o10_o29_pcu_sym.55,0.000358531,8.52E-06,42.08110329,6.225980535,0.757878967,0.711310457,0.487590699,32.31031567,33.06261697,1.103387034,0.033372647,0.856308079
str_m3_o12_o13_pcu_sym.234,8.59E-05,4.12E-06,20.84951456,2.792227342,0.350598579,0.210541178,0.254626572,18.31347438,19.75972958,1.11836615,0.056598252,0.923239242
str_m3_o12_o15_pcu_sym.174,0.000311186,4.27E-06,72.87728337,3.743785834,0.369777008,0.613100768,0.228705272,59.37356195,66.50835652,0.04880451,0.00073381,0.257429546
str_m3_o14_o14_pcu_sym.131,0.000140258,4.54E-06,30.8938326,2.577382449,0.352294962,0.282297582,0.228603566,27.3502674,37.19409754,0.03382644,0.000909457,0.304642552
str_m3_o14_o16_pcu_sym.116,5.86E-05,1.66E-06,35.30120482,2.640332687,0.158989533,0.152215391,0.113517842,29.69831833,18.72559358,2.910339893,0.155420435,0.936577789
str_m3_o14_o16_pcu_sym.244,0.000169398,4.76E-06,35.58781513,2.786932306,0.383016718,0.348074966,0.243217538,31.69679275,33.46622043,0.620545596,0.018542446,0.837705167
str_m3_o22_o22_pcu_sym.40,9.94E-05,4.74E-06,20.97046414,2.062109021,0.38580261,0.222864547,0.268536001,18.38128589,33.54533186,0.004813359,0.000143488,0.063432766
str_m3_o4_o16_pcu_sym.143,5.07E-05,2.66E-06,19.06015038,1.716525681,0.219994295,0.119750769,0.157170693,16.87501483,16.70902517,1.159389796,0.06938704,0.883971347
str_m3_o4_o17_pcu_sym.145,6.44E-05,4.02E-06,16.0199005,2.9241595,0.35937705,0.168237445,0.26553441,14.03263652,14.73140074,4.140121965,0.281040618,0.930584295
str_m3_o4_o22_pcu_sym.72,0.000104558,5.05E-06,20.70455446,4.07590726,0.445910853,0.268583959,0.324723524,18.31908343,19.01348439,2.092762859,0.110067298,0.91958873
